Time,PID,Tickets,Pass,Stride,Runtime
19050,14,32,108937,32,3190
20434,1,8,1792,128,14
20434,2,8,4224,128,19
20434,5,1,116364,1024,108
20434,4,8,116480,128,876
20434,6,2,116376,512,215
20434,7,4,116389,256,429
20434,8,8,116403,128,857
20434,9,16,116353,64,1712
20434,10,32,116365,32,3423
20434,11,32,116374,32,3423
20434,12,32,116382,32,3423
20434,13,32,116356,32,3422
20434,14,32,116361,32,3422
21748,1,8,1792,128,14
21748,2,8,4224,128,19
21748,5,1,123532,1024,115
21748,4,8,123520,128,931
21748,6,2,123544,512,229
21748,7,4,123557,256,457
21748,8,8,123443,128,912
21748,9,16,123393,64,1822
21748,10,32,123405,32,3643
21748,11,32,123414,32,3643
21748,12,32,123422,32,3643
21748,13,32,123396,32,3642
21748,14,32,123401,32,3642
23134,1,8,1792,128,14
23134,2,8,4224,128,19
23134,5,1,131724,1024,123
23134,4,8,130944,128,989
23134,6,2,131224,512,244
23134,7,4,130981,256,486
23134,8,8,130867,128,970
23134,9,16,130817,64,1938
23134,10,32,130829,32,3875
23134,11,32,130838,32,3875
23134,12,32,130846,32,3875
23134,13,32,130820,32,3874
23134,14,32,130825,32,3874
24518,1,8,1792,128,14
24518,2,8,4224,128,19
24518,5,1,138892,1024,130
24518,4,8,138368,128,1047
24518,6,2,138392,512,258
24518,7,4,138405,256,515
24518,8,8,138291,128,1028
24518,9,16,138241,64,2054
24518,10,32,138253,32,4107
24518,11,32,138262,32,4107
24518,12,32,138270,32,4107
24518,13,32,138244,32,4106
24518,14,32,138249,32,4106
25831,1,8,1792,128,14
25831,2,8,4224,128,19
25831,5,1,146060,1024,137
25831,4,8,145408,128,1102
25831,6,2,145560,512,272
25831,7,4,145317,256,542
25831,8,8,145331,128,1083
25831,9,16,145281,64,2164
25831,10,32,145293,32,4327
25831,11,32,145302,32,4327
25831,12,32,145310,32,4327
25831,13,32,145284,32,4326
25831,14,32,145289,32,4326
27240,1,8,1792,128,14
27240,2,8,4224,128,19
27240,5,1,153228,1024,144
27240,4,8,152960,128,1161
27240,6,2,153240,512,287
27240,7,4,152997,256,572
27240,8,8,152883,128,1142
27240,9,16,152833,64,2282
27240,10,32,152845,32,4563
27240,11,32,152854,32,4563
27240,12,32,152862,32,4563
27240,13,32,152836,32,4562
27240,14,32,152841,32,4562
27240,15,8,148749,128,0
27240,16,8,148749,128,0
27240,17,8,148749,128,0
27240,18,8,148749,128,0
27240,19,8,148749,128,0
27240,20,8,148749,128,0
30487,1,8,1792,128,14
30487,2,8,4224,128,19
30487,5,1,163468,1024,154
30487,4,8,163456,128,1243
30487,6,2,163480,512,307
30487,7,4,163493,256,613
30487,8,8,163379,128,1224
30487,9,16,163329,64,2446
30487,10,32,163341,32,4891
30487,11,32,163350,32,4891
30487,12,32,163358,32,4891
30487,13,32,163332,32,4890
30487,14,32,163337,32,4890
30487,15,32,163345,32,457
30487,16,32,163348,32,457
30487,17,8,163351,128,115
30487,18,2,163610,512,30
30487,19,8,163357,128,115
30487,20,8,163360,128,115
33331,1,8,1792,128,14
33331,2,8,4224,128,19
33331,5,1,173708,1024,164
33331,4,8,173824,128,1324
33331,6,2,173720,512,327
33331,7,4,173733,256,653
33331,8,8,173747,128,1305
33331,9,16,173697,64,2608
33331,10,32,173709,32,5215
33331,11,32,173718,32,5215
33331,12,32,173726,32,5215
33331,13,32,173700,32,5214
33331,14,32,173705,32,5214
33331,15,32,173713,32,781
33331,16,32,173716,32,781
33331,17,8,173719,128,196
33331,18,2,173850,512,50
33331,19,8,173725,128,196
33331,20,8,173728,128,196
36178,1,8,1792,128,14
36178,2,8,4224,128,19
36178,5,1,184972,1024,175
36178,4,8,184192,128,1405
36178,6,2,184472,512,348
36178,7,4,184229,256,694
36178,8,8,184115,128,1386
36178,9,16,184065,64,2770
36178,10,32,184077,32,5539
36178,11,32,184086,32,5539
36178,12,32,184094,32,5539
36178,13,32,184068,32,5538
36178,14,32,184073,32,5538
36178,15,32,184081,32,1105
36178,16,32,184084,32,1105
36178,17,8,184087,128,277
36178,18,2,184090,512,70
36178,19,8,184093,128,277
36178,20,8,184096,128,277
39023,1,8,1792,128,14
39023,2,8,4224,128,19
39023,5,1,195212,1024,185
39023,4,8,194560,128,1486
39023,6,2,194712,512,368
39023,7,4,194469,256,734
39023,8,8,194483,128,1467
39023,9,16,194433,64,2932
39023,10,32,194445,32,5863
39023,11,32,194454,32,5863
39023,12,32,194462,32,5863
39023,13,32,194436,32,5862
39023,14,32,194441,32,5862
39023,15,32,194449,32,1429
39023,16,32,194452,32,1429
39023,17,8,194455,128,358
39023,18,2,194842,512,91
39023,19,8,194461,128,358
39023,20,8,194464,128,358
41868,1,8,1792,128,14
41868,2,8,4224,128,19
41868,5,1,205452,1024,195
41868,4,8,204928,128,1567
41868,6,2,204952,512,388
41868,7,4,204965,256,775
41868,8,8,204851,128,1548
41868,9,16,204801,64,3094
41868,10,32,204813,32,6187
41868,11,32,204822,32,6187
41868,12,32,204830,32,6187
41868,13,32,204804,32,6186
41868,14,32,204809,32,6186
41868,15,32,204817,32,1753
41868,16,32,204820,32,1753
41868,17,8,204823,128,439
41868,18,2,205082,512,111
41868,19,8,204829,128,439
41868,20,8,204832,128,439
44712,1,8,1792,128,14
44712,2,8,4224,128,19
44712,5,1,215692,1024,205
